ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr101320,81,740302,41,"{'starter_1': 1, 'gem_1': 5, 'prog_10': 1, 'gem_2': 2, 'starter_2': 1, 'daily_6': 1, 'timed_h_2_1': 1, 'gem_3': 1, 'timed_n_3_1': 1, 'timed_n_3_2': 2, 'timed_f_3_7': 5, 'timed_f_3_1': 1, 'timed_f_3_3': 1, 'timed_p_2_1': 1, 'clan_1': 1, 'daily_5': 1, 'timed_n_4_1': 2, 'timed_n_4_2': 1, 'timed_b_1_1': 1}",9571,6958,1134,2021-05-12 00:00:00+00:00,7,2024-04-12 01:32:09.730000+00:00,0.6418644447047446,1.3677984716377984,0.4889799563580052,3552.0
usr101321,77,13635890,2612,{},9476,5427,461,2022-01-12 00:00:00+00:00,0,2024-04-12 06:49:26.267000+00:00,0.6729236309464813,1.666503678741589,0.5299536890390547,3861.0
usr101339,82,9122530,2427,"{'gem_1': 1, 'timed_a_0_2': 1, 'timed_i_0_2': 1, 'prog_30': 1, 'gem_2': 1, 'timed_f_0_3': 1, 'starter_2': 1, 'prog_25': 1, 'starter_1': 1, 'gem_3': 2, 'prog_32': 1, 'gem_sub_1': 15, 'timed_f_0_1': 1, 'prog_27': 1, 'starter_3': 1}",8299,6653,772,2019-01-06 20:39:34+00:00,11,2024-04-01 05:35:15.859000+00:00,0.7042655181424182,0.4773236741963484,0.5078732258453622,3644.0
usr101350,55,814860,1416,"{'prog_32': 1, 'starter_1': 1, 'gem_2': 1, 'gem_sub_1': 1, 'starter_2': 1, 'gem_1': 1}",3854,3260,16,2023-10-29 00:00:00+00:00,4,2024-04-12 02:55:18.136000+00:00,0.5220273975894205,0.4445335571914417,0.3828346961680295,2754.0
usr101353,67,84722,1000,{},6453,4866,669,2022-04-19 00:00:00+00:00,0,2024-01-16 01:56:05.188000+00:00,0.5305925231792256,0.7435019777803809,0.43322579200030176,3123.0
usr101355,118,34746994,956,"{'starter_1': 1, 'timed_d_1_1': 1, 'timed_d_1_2': 1, 'clan_1': 3}",20981,12242,1261,2019-01-23 17:43:28+00:00,3,2024-04-11 15:43:02.943000+00:00,0.8564130692688671,1.1313630415869498,0.8857717887793077,6875.0
usr101370,42,8424,736,"{'daily_9': 1, 'clan_2': 1}",2003,1455,343,2023-06-21 00:00:00+00:00,2,2024-01-24 23:47:32.036000+00:00,0.3967706015035336,0.5641721805241443,0.2638499591345121,1779.0
usr101374,27,403550,1253,{},862,822,23,2021-12-18 00:00:00+00:00,0,2024-01-25 01:13:34.237000+00:00,0.26514308497697847,0.397136168001706,0.08375497131594692,407.0
usr101375,72,1294761,7100,{},7861,5858,65,2021-09-08 00:00:00+00:00,0,2024-04-11 15:05:27.076000+00:00,0.6558091479475835,1.3576331560289012,0.3811419408338536,2672.0
usr101380,115,32263056,5461,"{'timed_j_2_4': 1, 'gem_sub_1': 17, 'timed_g_2_2': 1, 'timed_g_2_6': 1, 'gem_3': 1, 'daily_6': 1, 'gem_sub_2': 2, 'timed_b_2_2': 1, 'gem_1': 5}",20958,15761,875,2021-08-03 00:00:00+00:00,8,2024-04-12 05:24:27.909000+00:00,0.7876435279877699,1.0587316776243008,0.5860979242804576,4284.0
usr101382,198,80299212,55811,"{'gem_sub_1': 23, 'special_4': 1, 'gem_1': 1}",50248,39833,2527,2018-02-08 09:02:46+00:00,7,2024-04-12 06:41:39.174000+00:00,0.9799807928541608,3.0669137515555436,1.0,7884.0
usr101396,36,233232,1894,{},1743,1185,12,2020-09-10 00:00:00+00:00,0,2024-02-23 13:20:39.056000+00:00,0.40281394447798313,0.3640892749339989,0.26759575210555603,1859.0
usr101411,84,82522,259,{'gem_sub_1': 1},10992,7980,504,2021-12-26 00:00:00+00:00,1,2024-04-11 20:10:36.038000+00:00,0.6272649865294685,1.4843044029766321,0.47553222961825115,3334.0
usr101412,132,6387299,10744,{},26448,20405,823,2021-03-29 00:00:00+00:00,0,2024-04-11 11:53:23.005000+00:00,0.8334557244502911,1.3869790518467793,0.796291421090767,6304.0
usr101419,46,8793950,7095,{},2516,2468,19,2021-12-07 00:00:00+00:00,0,2024-03-08 13:06:33.189000+00:00,0.33383265905589143,0.2530759215375328,0.0765565058247985,532.0
